geo,date,gdp_real_growth_yoy,hicp_inflation_yoy,oecd_gdp_volume,unemployment_rate
DE,2015,1.7,0.7,833572.0,4.4
DE,2016,2.2,0.4,891472.0,3.9
DE,2017,2.8,1.7,995656.0,3.5
DE,2018,1.1,1.9,1090262.0,3.2
DE,2019,1.0,1.4,1034652.0,2.9
DE,2020,-4.1,0.4,32104.0,3.6
DE,2021,3.9,3.2,24984.0,3.6
DE,2022,1.8,8.7,39977.0,3.1
DE,2023,-0.9,6.0,27617.0,3.1
ES,2015,4.1,-0.6,833572.0,22.1
ES,2016,2.9,-0.3,891472.0,19.6
ES,2017,2.9,2.0,995656.0,17.2
ES,2018,2.4,1.7,1090262.0,15.3
ES,2019,2.0,0.8,1034652.0,14.1
ES,2020,-10.9,-0.3,32104.0,15.5
ES,2021,6.7,3.0,24984.0,14.9
ES,2022,6.4,8.3,39977.0,13.0
ES,2023,2.5,3.4,27617.0,12.2
FR,2015,1.1,0.1,833572.0,10.3
FR,2016,0.9,0.3,891472.0,10.1
FR,2017,2.1,1.2,995656.0,9.4
FR,2018,1.6,2.1,1090262.0,9.0
FR,2019,2.0,1.3,1034652.0,8.4
FR,2020,-7.4,0.5,32104.0,8.0
FR,2021,6.9,2.1,24984.0,7.9
FR,2022,2.7,5.9,39977.0,7.3
FR,2023,1.4,5.7,27617.0,7.3
