geo,date,sub_indicator_short,value,rank
DE,2024,WORLD,146236303.0,1
DE,2024,EUR,137854964.0,2
DE,2024,INT_EU28,133279089.0,3
DE,2024,INT_EU27_2020,131159611.0,4
DE,2024,DE,113894811.0,5
DE,2024,DOM,113894811.0,6
DE,2024,EU27_2020_FOR,17264800.0,7
DE,2024,AME,3997581.0,8
DE,2024,NL,3809499.0,9
DE,2024,AME_N,3385378.0,10
ES,2024,WORLD,116166159.0,1
ES,2024,EUR,101070352.0,2
ES,2024,INT_EU28,97463076.0,3
ES,2024,INT_EU27_2020,86135302.0,4
ES,2024,ES,54319372.0,5
ES,2024,DOM,54319372.0,6
ES,2024,EU27_2020_FOR,31815930.0,7
ES,2024,UK,11327774.0,8
ES,2024,AME,9248341.0,9
ES,2024,DE,7656443.0,10
FR,2024,WORLD,120181637.0,1
FR,2024,EUR,109762644.0,2
FR,2024,INT_EU28,106085555.0,3
FR,2024,INT_EU27_2020,100861040.0,4
FR,2024,FR,82336568.0,5
FR,2024,DOM,82336568.0,6
FR,2024,EU27_2020_FOR,18524472.0,7
FR,2024,AME,6134823.0,8
FR,2024,UK,5224515.0,9
FR,2024,AME_N,4936633.0,10
